,VL_LMTCARTAOCREDITO,VL_LMTCHESPECIAL
86,2588.7005158147263,6115.7411668500845
87,2107.1742786254717,996.6410829105116
88,3304.5706487796742,10341.8377466758
89,2375.4262606303737,902.8071613507509
90,2015.4245363223604,1888.534437737283
91,3910.9152960311403,15204.4865442249
92,3081.840354649671,9975.758582816754
93,2587.470914162699,6250.249717175144
94,5825.346838682897,29826.482087642522
95,2608.863442633344,7118.505226949155
96,2624.98264726678,6247.8747502825245
97,4442.474239791563,9894.628153594389
98,2472.591350445855,1009.0327258898324
99,2848.404214472942,4987.924447336133
100,4652.858248612408,39892.15660341993
101,2591.3802223578823,6249.907843580163
102,2591.412786566986,6241.726147628018
103,2634.896060208542,6247.304363301363
104,2619.430154930441,6247.9519560834015
105,4991.710802613015,39996.88503564888
106,3044.20323884223,9986.69669315769
107,2583.2885313577713,6250.3560515887475
108,2632.2351539340034,999.871544283902
109,1558.0036875333105,915.0105031617295
110,2586.885475650502,6249.002882544011
111,3065.417414847856,6083.528706143332
112,2662.7492302686996,6239.051289844225
113,2117.655479822061,4883.5740781137165
114,1927.697458569512,1893.6240244952633
115,2596.1232711795305,6249.625645453778
116,2617.3521882916357,5379.651485802529
117,2528.703897602461,6098.857565408388
118,2303.907131083286,572.6974454548408
119,2308.38661024944,872.596157288207
120,2526.3505832569567,5070.338932867651
121,2579.5575866247955,6096.47288676721
122,2295.6351530409756,6112.71103562219
123,2378.769580777709,668.6670920730758
124,1787.8288564124255,506.087336811167
125,2624.0122849882273,6247.976132198648
126,2345.4320338340576,975.164150208725
127,2970.497797297714,14942.294744471019
128,2220.6519852826596,377.4107581746921
129,1555.4524886128654,1915.101331588552
130,2206.9750294790724,182.95898695226606
131,2571.4073722423364,6097.038593744783
132,1696.8981405180093,1011.2952756751911
133,2328.4633106738424,1484.4729064087705
134,2464.412444249428,9865.948045528696
135,2252.881183643001,376.0187668576955
136,1686.660331240961,906.8491882717899
137,2585.6278181658595,6254.875831133726
138,2765.922962113806,14953.72543485164
139,1566.757990851224,1019.4134189652177
140,2572.5955270916206,6103.064199736933
141,2591.4691748576392,6305.098725794482
142,1475.1077517595515,1024.1947537542592
143,2509.667778453737,6204.804196731647
144,2246.63278131168,280.6175282666718
145,2354.1605359377,1870.3367142382986
146,2309.3373485733814,977.7017774973028
147,2258.399498299562,875.5597102148358
148,2276.336783308965,979.2047034318757
149,2317.986445100128,1526.2982066849918
150,2606.4513544415386,2069.480386078766
151,1662.928585277716,1071.9799231927136
152,2565.7821902511323,6243.224326241303
153,1900.4353597170807,921.274097971459
154,2793.471986230737,6151.664029081228
155,2707.510277744429,5091.65983567706
156,2547.081213991866,6252.337047400714
157,2585.0045685791238,6242.4515931454225
158,1431.2616625664264,947.958233680818
159,2592.591688269393,6254.714574733385
160,2625.4018537715906,6093.531780283661
161,2357.9992823910125,1626.677552890901
162,2583.2417026586118,6116.477429220647
163,2346.2137580159606,1153.6789621548178
164,2618.0661957093794,6093.559583056994
165,2604.9819560505653,3001.037110579943
166,2606.2558631515003,5169.768899268594
167,1974.7517172992234,-10.083183756313701
168,2547.4779189686215,6265.859809378735
169,4378.5160605607125,10901.748276592842
170,10949.233546916621,19538.47247160782
171,3265.8517768477786,9965.00385860839
172,2447.3619746638983,2865.0845852575526
173,3178.8889644156925,4928.081429248805
174,2955.4584502002276,8255.300051365048
175,2574.144173737306,6242.710763574889
176,6698.385009236156,34735.2417823273
177,2448.7897386601026,3105.5868351333406
178,3558.670037270648,14907.140129438838
179,2582.064986285988,6250.192199641458
180,2902.380047558966,6223.980346194671
181,2909.971848249513,2943.4909040868315
182,2867.2839174091246,6893.485528904513
183,2229.65554229637,928.6144314006297
184,2716.1909615800187,6234.271444002384
185,2596.433596953713,6241.398613125254
186,1739.05535904632,456.1877544727331
187,2438.7356959253743,899.0759804757381
188,2649.4040157357103,5129.563197141004
189,2576.460739935164,6161.938094245046
190,2590.268642498707,6095.470196538653
191,2306.377350894789,2029.9012026547025
192,2596.889353258667,6261.965963879031
193,2387.1337472201117,1876.2657115355705
194,3431.1899476945428,931.5038373469743
195,2288.7956658881453,373.72655037672484
196,2125.2568582060258,1210.1953872062422
197,2759.4192064559456,6241.32381174124
198,3239.366486808492,6351.988829470225
199,1941.6325707739957,2039.1868308557441
200,12265.824992646976,99433.03073780573
201,2498.6889211631524,1041.4595401900506
202,2908.5699307045475,2943.3987283909855
203,2617.677256822775,6240.263468578714
204,2476.7000026336705,5009.9920937137595
205,4256.5766002560085,33767.59457598641
206,2539.441081970613,6098.51453866943
207,2160.985521984803,2882.017890692793
208,5391.6565643485155,51284.3614026485
209,1582.2705866024037,1175.289212439383
210,2419.361309012878,1974.4398976100056
211,2584.5210673435936,6095.980447909513
212,2564.637838380925,5123.526862652118
213,2333.637516266706,871.1251008157933
214,5390.397693079945,9804.945382252929
215,2981.5584744704756,9992.686807407024
216,2644.4652756865275,6307.610037987596
217,2388.3818991662292,427.65662309679647
218,2372.270235251439,1027.7480569219906
219,2381.3513714631454,870.3554910440398
220,2381.3513714631454,870.3554910440398
221,6666.790187516242,4651.630151819405
222,3478.2091285956703,19814.74211511951
223,2703.5799781270966,9851.89260638753
224,5369.024585108695,21856.484777264464
225,1767.542463486166,1006.9460343126184
226,2249.4485191407516,4980.7485294230155
227,1877.8831756337759,1043.017388720591
228,2589.6513031234877,6241.571930761587
229,2243.4801304457515,1150.7320682359114
230,2296.4606413129145,510.3023914158575
231,1536.0674871681863,2037.0796804129923
232,2573.6178216686035,6161.5806764827585
233,2624.3837169697194,6414.40352138725
234,2278.8000194736487,4874.6966774145085
235,2623.434720480453,6093.850269206942
236,2552.0353738731587,6251.908494181437
237,3579.607541180888,6195.73554932742
238,2677.4780126560145,6236.611374848328
239,2253.4835543170384,521.8453296780581
240,2638.1978398855344,6239.104804486665
241,2446.7953132328794,542.7903590059477
242,2378.2829367056943,6892.123104232345
243,2358.506002780393,974.4278041951193
244,2772.7024288281427,6230.700297344322
245,2596.477874235187,6249.579941352269
246,2613.9839090392384,4855.640276173643
247,2250.4991918974065,980.6142444557372
248,2271.8156382914185,979.3273784825469
249,2302.891140695776,873.2205201015186
250,2208.057569848664,4879.11575539369
251,2188.3482443949447,179.16375796099874
252,3082.9651822225605,6212.502547456691
253,7543.79031852228,24568.049027849163
254,2932.8861566676615,6109.956577242368
255,2592.6460536567765,6129.336426825419
256,2334.481420871412,632.9869122941454
257,3611.3992825223604,19947.70416772701
258,2334.660852910571,1090.5038061035111
259,2004.2876884330121,6275.023953097597
260,2586.3064166614695,6148.5710098365835
261,2743.430866049136,5178.521792296917
262,2751.361518453193,6154.46719686106
263,2585.5384358843517,6095.545984047935
264,2696.4389371836332,2997.270382569142
265,2918.584137789881,4942.114711121785
266,2701.653330666502,848.9122317852389
267,3145.9266278191135,4971.371780741579
268,3613.130599260487,14798.984498473681
269,2896.4893784449832,2484.6097218550412
270,2804.511913886056,3963.0022091691994
271,3830.3536562584336,5050.732998693148
272,2518.471781725757,6131.417520463914
273,3503.3417916822177,15020.884877943437
274,2942.723502099279,6220.804586460529
275,3653.531807763322,20323.93595031863
276,2234.340314999482,585.597379435575
277,2757.6755672196823,3951.5697606155636
278,2576.4396011008457,6209.017351694544
279,2611.3676195818666,6248.690789686827
280,2546.181832249757,6252.377779426117
281,2572.229654721862,6250.71821716257
282,2668.380059340487,6237.114505576915
283,3566.419461366488,15326.178212394945
284,2594.002785386878,6241.652976769665
285,2587.6475593877835,6250.109950312111
286,2144.098854222803,6266.303805297011
287,3964.12124318325,19925.40539281541
288,2950.3461258127268,835.1903910623423
289,2934.659366504535,5640.621834052983
290,2384.033348654751,1014.4695931095948
291,2594.460252171641,6249.721707865359
292,2661.534419024507,6248.412648150392
293,2162.451017807168,1984.4534471531706
294,4144.245337382801,29982.40591625912
295,2611.74751937353,6247.328268982609
296,2743.1045460593473,10373.663204634435
297,2549.628296936289,1067.6666099723952
298,2588.4793012955593,6242.123836378187
299,2070.2194139317644,886.7931959053367
300,1837.122173321892,951.0021496272857
301,2577.8982972547547,6242.185738457873
302,1731.4243431748355,404.54391531690544
303,2653.0484267475485,7959.765436629367
304,2823.671280107689,9845.317441549898
305,2214.314566608626,482.5687726319293
306,2605.4632886777717,6249.10099763549
307,2593.002183265051,6249.8107923752395
308,2618.1679033409196,6240.352378171648
309,2262.6897374996197,875.8698435821289
310,2586.598681399571,6250.170956827033
311,2718.827689115903,9850.634400181718
312,2588.582930234714,6095.751398173637
313,2822.3562564624494,6090.486414607188
314,1839.1925233158113,2003.5471536267478
315,2494.7212932849616,4919.891818070579
316,2151.0011583192822,2986.3328620493644
317,2544.773456876885,6124.698825684724
318,1789.7514005726664,1005.8260061616584
319,2559.341781195788,6097.168339504039
